MESSAGE_SIZE,SIZE_NAME,DURATION_ACK,ITERATION
27520,795959,data/small_data.json,1
27520,400515,data/small_data.json,2
27520,424360,data/small_data.json,3
27520,409222,data/small_data.json,4
27520,424453,data/small_data.json,5
27520,423085,data/small_data.json,6
27520,430960,data/small_data.json,7
27520,401262,data/small_data.json,8
27520,431181,data/small_data.json,9
27520,608810,data/small_data.json,10
27520,862775,data/small_data.json,1
27520,882038,data/small_data.json,1
27520,321769,data/small_data.json,2
27520,437552,data/small_data.json,3
27520,409079,data/small_data.json,4
27520,437928,data/small_data.json,5
27520,427589,data/small_data.json,6
27520,389022,data/small_data.json,7
27520,414215,data/small_data.json,8
27520,404424,data/small_data.json,9
27520,399839,data/small_data.json,10
27520,415133,data/small_data.json,11
27520,400851,data/small_data.json,12
27520,432960,data/small_data.json,13
27520,419859,data/small_data.json,14
27520,450798,data/small_data.json,15
27520,431757,data/small_data.json,16
27520,386785,data/small_data.json,17
27520,407740,data/small_data.json,18
27520,420191,data/small_data.json,19
27520,405171,data/small_data.json,20
27520,418525,data/small_data.json,21
27520,402712,data/small_data.json,22
27520,393108,data/small_data.json,23
27520,423034,data/small_data.json,24
27520,440421,data/small_data.json,25
27520,391062,data/small_data.json,26
27520,450675,data/small_data.json,27
27520,341220,data/small_data.json,28
27520,439359,data/small_data.json,29
157745,436551,data/medium_data.json,1
157745,396437,data/medium_data.json,2
157745,410142,data/medium_data.json,3
157745,424591,data/medium_data.json,4
157745,415788,data/medium_data.json,5
157745,396041,data/medium_data.json,6
157745,401543,data/medium_data.json,7
157745,403070,data/medium_data.json,8
157745,382290,data/medium_data.json,9
157745,412875,data/medium_data.json,10
157745,395568,data/medium_data.json,11
157745,416967,data/medium_data.json,12
157745,413906,data/medium_data.json,13
157745,397186,data/medium_data.json,14
157745,416560,data/medium_data.json,15
157745,411173,data/medium_data.json,16
157745,404219,data/medium_data.json,17
157745,417073,data/medium_data.json,18
157745,323656,data/medium_data.json,19
157745,419293,data/medium_data.json,20
157745,408802,data/medium_data.json,21
157745,423357,data/medium_data.json,22
157745,416250,data/medium_data.json,23
157745,416124,data/medium_data.json,24
157745,424176,data/medium_data.json,25
157745,400849,data/medium_data.json,26
157745,419351,data/medium_data.json,27
157745,414826,data/medium_data.json,28
157745,490808,data/medium_data.json,29
1071472,132129,data/big_data.json,1
1071472,399588,data/big_data.json,2
1071472,402902,data/big_data.json,3
1071472,413845,data/big_data.json,4
1071472,414526,data/big_data.json,5
1071472,397473,data/big_data.json,6
1071472,411294,data/big_data.json,7
1071472,369763,data/big_data.json,8
1071472,411557,data/big_data.json,9
1071472,393389,data/big_data.json,10
1071472,398740,data/big_data.json,11
1071472,418906,data/big_data.json,12
1071472,424841,data/big_data.json,13
1071472,417795,data/big_data.json,14
1071472,397302,data/big_data.json,15
1071472,442000,data/big_data.json,16
1071472,408555,data/big_data.json,17
1071472,421486,data/big_data.json,18
1071472,406026,data/big_data.json,19
1071472,407879,data/big_data.json,20
1071472,394794,data/big_data.json,21
1071472,402183,data/big_data.json,22
1071472,422764,data/big_data.json,23
1071472,416970,data/big_data.json,24
1071472,394261,data/big_data.json,25
1071472,393423,data/big_data.json,26
1071472,411179,data/big_data.json,27
1071472,412803,data/big_data.json,28
1071472,451457,data/big_data.json,29
